"sample_id" "coord_x" "coord_y" "clay" "carbon" "ecec"
"sm-dnos-184" 231425.307235689 6718688.84578312 158 36.036036036036 13.7
"sm-dnos-185" 231287.661625798 6719219.6874049 274 14.4144144144144 5.1
"sm-dnos-186" 230906.750426174 6718953.85390458 202 21.6216216216216 10.9
"sm-dnos-187" 230910.233794513 6719200.43031359 314 15.3153153153153 4.8
"sm-dnos-188" 230501.475404323 6719258.83724134 246 22.5225225225225 4.2
"sm-dnos-189" 230307.05935289 6719177.9516429 215 21.6216216216216 9.6
"sm-dnos-190" 230300.956197573 6719508.2754481 327 18.9189189189189 4
"sm-dnos-191" 230097.872780611 6719694.74983873 454 18.018018018018 4
"sm-dnos-192" 230002.911020856 6719935.29771757 413 21.6216216216216 4.5
"sm-dnos-193" 229826.809693741 6720292.8119789 329 72.972972972973 12.1
"sm-dnos-194" 229660.15951535 6720555.37093292 374 18.9189189189189 4.9
"sm-dnos-195" 229516.307520064 6720258.03937975 257 25.2252252252252 7.4
"sm-dnos-196" 229287.974781277 6720690.38846378 420 18.9189189189189 5.3
"sm-dnos-197" 229431.810524697 6720996.48617336 408 22.5225225225225 4.6
"sm-dnos-198" 229158.604406378 6721106.48654682 491 16.2162162162162 5.4
"sm-dnos-199" 228989.51762471 6720886.85840229 281 15.3153153153153 3.4
"sm-dnos-200" 229174.353369867 6720421.95861377 397 18.9189189189189 4
"sm-dnos-201" 229135.114906867 6720152.21725679 403 27.027027027027 5.8
"sm-dnos-202" 229897.483347447 6719499.45214362 319 57.6576576576577 10.9
"sm-dnos-203" 229717.660376733 6719561.01424618 298 36.9369369369369 10.9
"sm-dnos-204" 229620.119546932 6719956.47223942 381 33.3333333333333 13.2
"sm-dnos-205" 229325.696303858 6719938.61019023 324 36.9369369369369 8.5
"sm-dnos-206" 229531.911060607 6719522.59003845 269 23.4234234234234 5
"sm-dnos-207" 229079.353907598 6719543.39325481 308 25.2252252252252 7.3
"sm-dnos-208" 228996.255061369 6719877.73913946 401 41.4414414414414 13
"sm-dnos-209" 228769.75393279 6719055.4504574 338 29.7297297297297 19.7
"sm-dnos-210" 228808.609119307 6719556.81747352 305 15.3153153153153 4.7
"sm-dnos-211" 228683.133203291 6719775.43042999 252 20.7207207207207 4.5
"sm-dnos-212" 228362.206520028 6719707.42424631 280 18.018018018018 3.7
"sm-dnos-213" 228433.138652921 6719976.38480234 275 61.2612612612613 12.2
"sm-dnos-214" 228744.678841326 6720220.43650007 267 48.6486486486486 12.1
"sm-dnos-215" 226656.286475079 6719619.60383413 238 16.2162162162162 4.6
"sm-dnos-216" 227012.102804572 6719802.99577267 218 27.9279279279279 15.8
"sm-dnos-217" 227288.64425088 6719934.41579945 154 17.1171171171171 21.1
"sm-dnos-218" 227157.927532484 6720398.94429856 294 29.7297297297297 6.1
"sm-dnos-219" 227290.348922745 6720223.11327984 166 24.3243243243243 19.2
"sm-dnos-220" 227534.704891808 6720594.69611853 209 28.8288288288288 21.6
"sm-dnos-221" 227632.723056281 6720362.44699003 263 26.1261261261261 9.7
"sm-dnos-222" 227563.673868607 6720072.44779798 186 25.2252252252252 8.8
"sm-dnos-223" 227926.988387482 6720307.46398969 146 24.3243243243243 19.2
"sm-dnos-224" 227657.115388519 6721090.66674177 322 27.9279279279279 4.9
"sm-dnos-225" 227915.961068573 6720758.14942123 297 33.3333333333333 9.1
"sm-dnos-226" 228140.934980763 6720526.75624421 292 41.4414414414414 10.5
"sm-dnos-227" 227220.657294002 6719541.49004291 73 6.30630630630631 3.8
"sm-dnos-228" 227340.376227363 6719261.84673283 90 18.9189189189189 37.3
"sm-dnos-229" 227528.269462916 6718968.43944172 96 13.5135135135135 10.5
"sm-dnos-230" 227765.659042671 6718775.63053351 88 10.8108108108108 3.3
"sm-dnos-231" 227580.875456404 6718594.42071693 103 13.5135135135135 11.8
"sm-dnos-232" 226921.199242442 6719599.32184064 238 35.1351351351351 20.8
"sm-dnos-233" 227046.471253664 6719330.79883141 134 120.720720720721 44.6
"sm-dnos-234" 227099.475204713 6719040.6585566 269 43.2432432432432 26
"sm-dnos-235" 227334.70380685 6718833.4944835 267 27.9279279279279 18.9
"sm-dnos-236" 227258.090886085 6718556.50849037 195 18.018018018018 9.6
"sm-dnos-237" 227640.884342447 6717955.55512815 277 27.9279279279279 56.1
"sm-dnos-238" 227465.935420554 6717976.37401124 147 18.018018018018 60.9
"sm-dnos-239" 227504.643434831 6718261.7559657 207 20.7207207207207 8.4
"sm-dnos-240" 227208.854743169 6718218.06325703 305 29.7297297297297 12.1
"sm-dnos-241" 227214.582053339 6717815.50260062 216 30.6306306306306 11.4
"sm-dnos-242" 226842.674746683 6717312.88508702 158 67.5675675675676 14.1
"sm-dnos-243" 227315.990217061 6717431.57816482 152 20.7207207207207 12.5
